class,v1,v3,v5,v7,v8,v9,v11,v12,v13,v14,v15,v21,v23,v25,v29,v31,v33
1,1,0.99539,0.85243,0.83398,-0.37708,1.0,0.85243,-0.17755,0.59755,-0.44945,0.60536,0.56971,0.36946,0.56811,0.21266,0.42267,0.18641
0,1,1.0,0.93035,-0.10868,-0.93597,1.0,0.50874,-0.67743,0.34432,-0.69707,-0.51685,-0.13151,-0.18056,-0.20332,-0.1904,-0.16626,-0.13738
1,1,1.0,1.0,1.0,-0.12062,0.88965,0.73082,0.05346,0.85443,0.00827,0.54591,0.70887,0.43385,0.57528,0.431,0.60436,0.56045
0,1,1.0,1.0,0.71216,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.69975,0.0,1.0,1.0,0.25682,-0.32382
1,1,1.0,0.9414,0.92106,-0.23255,0.77152,0.52798,-0.20275,0.56409,-0.00712,0.34395,0.05982,0.02309,0.03286,0.02431,-0.05707,-0.04608
0,1,0.02337,-0.09924,-0.00763,-0.11824,0.14706,0.03786,-0.06302,0.0,0.0,-0.04572,0.01838,0.01519,0.03513,-0.07859,0.0,-0.00039
1,1,0.97588,0.94601,0.92806,-0.2835,0.85996,0.79766,-0.47929,0.78225,-0.50764,0.74628,0.36324,0.31898,0.22792,0.04606,-0.04262,-0.13832
0,0,0.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,1,0.96355,1.0,1.0,-0.21313,1.0,0.9257,-0.43569,0.9451,-0.40668,0.90392,0.75346,0.69637,0.85106,0.25435,0.45114,0.38895
0,1,-0.01864,0.0,0.0,0.0,0.1147,-0.45663,-0.38172,0.0,0.0,-0.33656,0.0,0.0,-0.14803,0.0,0.16595,-0.08208
1,1,1.0,1.0,1.0,-0.2732,1.0,1.0,-0.41349,0.96232,-0.51874,0.90711,0.70645,0.63081,0.55867,0.40303,0.30996,0.22995
0,1,1.0,1.0,1.0,-1.0,1.0,1.0,-0.41119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,0.99999,-0.15197,1.0,0.94055,-0.35151,0.95735,-0.29785,0.93719,0.86043,0.82987,0.8408,0.65723,0.68714,0.64727
0,1,1.0,1.0,0.85492,-0.39896,1.0,1.0,0.35147,1.0,0.07772,1.0,0.61831,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,-0.05563,1.0,1.0,0.19651,1.0,0.20328,1.0,1.0,1.0,1.0,0.95603,1.0,1.0
0,1,0.50932,1.0,-0.0352,-1.0,1.0,0.43685,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.16253,0.0,1.0,0.0
1,1,0.99645,1.0,0.97811,0.02498,0.96112,0.99274,0.07808,0.89323,0.10346,0.94212,0.81633,0.83668,0.81329,0.7911,0.77122,0.70941
0,0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1,1,0.67065,0.66626,0.57197,0.18761,0.08776,0.63621,0.12131,0.62099,0.14285,0.78637,0.53888,0.5142,0.48838,0.43433,0.40663,1.0
0,0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,-0.71875,1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,-0.07649,1.0,1.0,-0.11073,1.0,-0.39489,1.0,0.91693,0.9606,0.81874,0.75784,0.80448,0.74354
0,0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0
1,1,0.96071,1.0,1.0,0.09313,0.90169,0.89263,0.0258,0.8325,-0.06142,0.87534,0.65961,0.64158,0.55677,0.49664,0.5131,0.52099
0,0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0
1,1,1.0,1.0,1.0,-0.05131,1.0,1.0,-0.11726,0.84493,-0.05202,0.93392,0.9491,0.80852,0.84932,0.73094,0.54356,0.64207
0,1,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,0.86635,-0.81779,0.94817,0.95473,-0.41382,0.88486,-0.31736,0.87937,0.90284,0.62357,0.55389,0.4065,0.32984,-0.13341
0,0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0
1,1,1.0,1.0,1.0,-0.13308,0.98172,1.0,0.47904,1.0,0.59113,1.0,1.0,0.98042,0.91624,0.74822,0.64358,0.52479
0,0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0
1,1,1.0,1.0,1.0,-0.23656,1.0,1.0,-0.2501,1.0,-0.26161,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.0184,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1,1,0.88208,0.93408,0.921,-0.1645,0.88307,0.88462,-0.31809,0.85269,-0.31463,0.82116,0.70555,0.6615,0.61297,0.50179,0.47075,0.42189
0,1,0.71253,0.41287,0.98019,-0.09473,0.99709,1.0,-0.10951,0.58965,1.0,0.83726,-0.25914,0.51933,0.65493,0.63811,0.86136,-0.23186
1,1,1.0,0.72314,0.83443,-0.58388,1.0,1.0,-0.49863,0.79962,-0.12527,0.76837,0.96354,0.92599,1.0,1.0,1.0,1.0
0,1,0.66161,1.0,1.0,-0.67321,0.80893,1.0,-1.0,1.0,-0.89375,1.0,1.0,1.0,1.0,0.95982,1.0,1.0
1,1,1.0,1.0,1.0,-0.0296,1.0,0.97839,-0.06256,1.0,-0.06544,0.97261,0.99589,0.94815,0.89469,0.85644,0.83777,0.83867
0,0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,0.0
1,1,0.91241,0.94191,0.94705,0.05345,0.93582,0.91911,0.06348,0.92766,0.12067,0.92048,0.80983,0.77041,0.75755,0.66387,0.70925,0.65258
0,1,1.0,0.99672,0.97545,0.07143,0.61745,0.91036,0.11147,0.88462,0.5364,0.82077,0.6585,0.60138,0.54446,0.43481,0.38352,1.0
1,1,1.0,1.0,1.0,0.26281,0.93051,0.86773,0.39039,0.75474,0.50082,0.79555,0.47807,0.40553,0.34384,0.19296,0.11372,0.0699
0,1,-1.0,1.0,1.0,-0.14375,0.0,-1.0,1.0,1.0,1.0,0.17917,1.0,-1.0,-1.0,-1.0,1.0,0.0
1,1,0.90932,0.86528,1.0,0.16598,0.55187,0.70207,0.36719,0.16286,0.42739,0.5762,0.37824,0.31274,0.24856,0.12635,0.06927,0.12137
0,1,-0.64286,1.0,1.0,-1.0,1.0,1.0,0.96161,1.0,-0.37679,1.0,1.0,-0.84286,0.5375,1.0,1.0,1.0
1,1,0.99025,0.99793,0.98663,-0.1943,0.99374,0.92738,-0.3013,0.92651,-0.37965,0.89812,0.79016,0.74725,0.68282,0.6101,0.54752,0.49195
0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0
1,1,1.0,1.0,0.99601,-0.11039,0.99838,0.98941,-0.13814,0.96674,-0.21695,0.95288,0.89991,0.87874,0.86213,0.81433,0.77919,0.75115
0,1,0.94598,-1.0,-0.36393,0.35639,0.69258,1.0,-0.03353,-0.2902,-0.0055,-0.54852,-0.29735,-0.73864,0.83872,1.0,-0.09634,-0.06117
1,1,0.98166,0.98103,0.97565,-0.05699,0.95947,0.99004,-0.04507,0.94713,-0.11102,0.93369,0.88274,0.86257,0.88487,0.78546,0.76911,0.74323
0,1,0.0,1.0,0.0,0.0,0.10991,0.0,0.0,0.0,0.0,-1.0,0.0,0.53448,-0.90302,-1.0,0.0,0.0
1,1,0.84134,0.43644,0.93421,-0.00267,0.87947,0.81121,-0.01789,0.88559,0.54991,0.91714,1.0,0.4661,0.90066,0.61582,0.84463,0.93323
0,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0
1,1,1.0,1.0,0.9101,1.0,-0.2697,-0.83152,1.0,-1.0,1.0,-1.0,-1.0,-0.52838,0.90014,1.0,1.0,1.0
0,1,-0.67935,-1.0,1.0,0.63317,0.03515,-1.0,-1.0,1.0,1.0,0.88683,1.0,-1.0,-0.18856,-1.0,-1.0,1.0
1,1,0.95659,0.97487,0.97165,-0.08484,0.96097,0.94717,0.01279,0.95436,-0.16795,0.94612,0.91428,0.9014,0.99899,0.92059,0.83951,0.82166
0,1,0.08333,-1.0,-1.0,1.0,0.71875,-0.82143,-0.62723,-1.0,-1.0,-1.0,-0.74628,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,1.0,1.0,1.0,-0.06682,1.0,1.0,0.56173,1.0,-0.12738,1.0,0.99484,0.95601,1.0,0.8292,0.78479,0.73992
0,0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,-0.1875,1.0,-1.0,1.0,1.0,1.0,0.0,-1.0
1,1,1.0,0.94525,0.99952,0.13231,1.0,0.94846,0.07033,0.95713,0.14644,0.94862,0.99695,0.90784,0.91667,0.88568,0.78324,0.83574
0,1,0.17188,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.61354,0.0,-1.0,-0.84792,-1.0,0.0,0.0
1,1,1.0,1.0,1.0,0.22574,0.98602,0.9493,0.19211,0.92992,0.24288,0.89241,0.83393,0.74829,0.76193,0.62764,0.56791,0.54252
0,1,0.01667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12292,0.0,0.08333,-0.10625,-1.0,0.0,1.0
1,1,1.0,0.99352,0.94616,0.33347,0.91759,0.91408,0.37107,0.8425,0.46899,0.81011,0.56553,0.55586,0.48311,0.35684,0.33921,0.22101
0,1,0.63816,0.20833,1.0,1.0,0.87719,-0.66886,1.0,-0.05921,0.58772,0.01754,0.32675,-1.0,0.80921,1.0,0.20614,1.0
1,1,1.0,1.0,0.8706,0.18593,1.0,0.93844,0.4799,0.65452,-0.1608,1.0,0.88065,1.0,0.93593,1.0,0.4397,0.51382
0,1,0.84783,1.0,1.0,-1.0,0.66938,1.0,0.27038,1.0,0.60598,1.0,1.0,0.8913,0.91033,0.37681,1.0,1.0
1,1,1.0,1.0,1.0,0.07764,1.0,0.98762,0.33266,1.0,0.05489,1.0,1.0,0.99933,1.0,0.86747,0.94578,0.80355
0,0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1,1.0,0.81309,0.43019,1.0,0.20619,-0.43872,1.0,-0.79135,0.77092,-1.0,-0.73083,-0.37671,0.41366,0.25773,0.9357,0.98816
0,1,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1,1,1.0,1.0,1.0,0.26968,1.0,1.0,0.28778,1.0,0.38643,1.0,1.0,1.0,0.89593,0.85611,0.74389,0.71493
0,0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.75,1.0,1.0,-1.0,0.0,1.0
1,1,0.96087,0.9676,0.96026,0.27451,0.98044,0.92867,0.46281,0.86265,0.52517,0.8282,0.54473,0.48339,0.40615,0.24944,0.13756,0.09048
0,1,0.69444,0.0,-0.32937,0.69841,0.0,0.0,0.0,0.0,0.0,0.20635,0.0,0.0,0.73413,0.0,0.0,0.0
1,1,1.0,1.0,1.0,0.19498,1.0,1.0,0.34826,1.0,0.38261,0.94575,0.80644,0.79578,0.66643,0.49538,0.47027,0.33381
0,0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0
1,1,1.0,1.0,1.0,0.16159,1.0,0.98703,0.30889,0.92745,0.37639,0.91118,0.794,0.70331,0.67077,0.53952,0.45312,0.40442
0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
1,1,1.0,1.0,1.0,0.72973,1.0,1.0,1.0,1.0,1.0,1.0,0.74468,0.89647,0.64628,0.10819,-0.1737,-0.81383
0,0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0
1,1,1.0,1.0,1.0,0.09557,1.0,1.0,-1.0,1.0,-0.40559,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,0.92277,0.92679,0.89702,0.24618,0.84111,0.78801,0.42196,0.70716,0.46983,0.70796,0.39903,0.34232,0.23693,0.09694,0.02735,-0.04023
0,1,0.68198,0.82332,0.46643,0.32862,0.25795,1.0,-0.15194,0.0106,0.44523,0.0106,0.04325,-0.00083,-0.02862,-0.04779,-0.04585,-0.04013
1,1,0.74852,0.6568,0.80621,0.02811,0.85947,0.63462,0.08728,0.71598,0.0784,0.73077,0.78698,0.34615,0.65385,0.5355,0.59024,0.56361
0,1,0.39179,0.97464,1.0,1.0,0.35821,0.54478,0.1306,0.61567,-0.8209,0.57836,0.65574,0.83209,0.47015,0.32463,0.39118,0.34411
1,1,0.67547,0.76981,0.77358,0.03774,0.66038,0.64528,0.01132,0.66792,-0.13962,0.72075,0.75849,0.73962,0.84906,0.66792,0.86415,0.73208
0,1,0.72727,0.89241,1.0,0.72727,0.66364,0.48182,-0.16818,0.81809,0.09559,0.56818,1.0,0.98636,0.57273,0.42273,0.48927,1.0
1,1,0.57647,0.40392,0.38431,0.12941,0.4,0.56471,0.14118,0.46667,0.08235,0.52549,0.45882,0.58039,0.49804,0.46275,0.45098,0.43137
0,1,0.41932,0.35,0.23182,0.27955,-0.03636,0.04517,0.36194,-0.19091,0.33636,-0.1335,-0.20028,-0.18636,-0.14003,-1.0,-0.02916,-0.00526
1,1,0.88305,1.0,0.82403,0.19206,0.85086,0.90558,-0.04292,0.85193,0.25,0.77897,0.73176,1.0,0.5676,0.80901,0.43026,0.52361
0,1,0.84557,-0.31745,-0.08961,-0.56435,0.80648,0.89514,-0.00763,-0.18494,0.63966,-0.20019,-0.06959,-0.34128,0.78932,0.77884,-0.21354,-0.18494
1,1,0.7087,0.64348,0.45217,0.38261,0.65217,0.5,0.26957,0.57826,-0.23043,0.50435,0.26957,0.53246,0.31304,0.48348,0.64348,0.50435
0,1,-0.5418,-0.33746,0.52012,-0.13932,0.31889,0.20743,-0.1517,0.47368,0.08978,0.56347,0.50464,-0.63777,1.0,-0.1517,0.02399,0.52632
1,1,0.29202,0.45331,0.51783,-0.00509,0.52632,0.52462,-0.16638,0.47368,-0.04754,0.55518,0.34975,0.28183,0.51731,0.34635,0.70798,0.39559
0,1,0.79157,0.0,0.56541,0.06874,0.39468,0.38359,0.99557,-0.02439,0.53215,0.23725,-0.102,-0.42572,-0.91574,-1.0,-1.0,0.0
1,1,0.90116,0.79299,0.7299,0.50515,0.59784,0.44303,0.81152,0.24412,0.87493,0.06438,-0.46635,-0.57135,-0.68159,-0.72369,-0.71475,-0.67699
1,1,0.97714,0.82683,0.71771,0.58732,0.47968,0.31409,0.92643,0.10289,0.93945,-0.13254,-0.68274,-0.77408,-0.85376,-0.82366,-0.67289,-0.59943
0,1,-1.0,0.0,0.50814,-0.78502,0.60586,-1.0,-0.41368,0.0,0.0,0.0,0.97068,-1.0,1.0,-1.0,1.0,0.0
1,1,0.74084,0.79074,0.78575,0.03793,0.6623,0.67801,0.31152,0.75934,0.07348,0.74695,0.70021,0.68183,0.67016,0.65707,0.59759,0.57455
0,1,1.0,0.0,0.77941,-0.99265,0.80882,-0.41912,-0.94853,0.0,0.0,0.0,0.0,0.18382,-1.0,1.0,1.0,0.0
1,1,1.0,0.96215,1.0,-0.03436,1.0,0.99026,-0.07092,0.99173,-0.09002,1.0,1.0,1.0,0.98971,0.94599,0.96436,0.87011
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.95704,0.63318,0.96365,-0.18242,0.97026,0.92003,-0.01124,0.83543,-0.24719,1.0,1.0,0.93126,1.0,0.81428,0.89095,0.69531
0,1,0.28409,0.0,0.68182,-1.0,0.30682,0.64394,0.06439,0.34848,-0.84848,0.0,0.0,0.0,0.24242,0.06061,0.16288,0.0
1,1,0.9449,1.0,0.98898,-0.87052,0.90083,1.0,-0.10104,1.0,-0.12493,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1,0.0,0.0,0.0,0.0,0.0,0.62195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.99449,0.84082,0.88237,-0.16431,0.99061,0.96484,-0.07496,0.85221,0.02966,0.87161,0.89876,0.87836,0.93368,0.94294,0.80253,0.76586
0,1,0.10135,0.0,0.0,0.0,0.5473,0.31081,1.0,0.0,0.0,0.0,0.0,0.0,-0.42568,0.55405,0.0,0.0
1,1,1.0,0.9915,0.89518,-0.9745,1.0,1.0,-0.23229,0.6289,-0.86402,1.0,0.96601,0.7012,0.61946,0.8102,1.0,0.30445
0,1,0.65909,0.0,0.0,0.0,0.77273,1.0,-0.2803,0.0,0.0,0.0,1.0,0.0,0.0,-0.12879,0.0,0.0
1,1,0.86284,0.8092,0.67203,0.55785,0.54559,0.36705,0.81533,0.19617,0.85671,-0.04061,-0.48199,-0.6023,-0.59234,-0.57241,-0.54866,-0.42912
0,1,0.42,0.0,1.0,-1.0,0.9,0.43,0.64,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0
1,1,1.0,0.91404,0.7802,0.72144,0.4766,0.27639,0.9173,0.09467,0.88248,-0.2198,-0.64527,-0.74102,-0.70838,-0.64962,-0.51251,-0.37432
0,1,0.91353,-0.72973,-0.39466,0.55735,0.05405,-0.18599,-0.10241,-0.03158,-0.0897,0.01401,0.00048,-3e-05,-3e-05,0.0,0.0,0.0
1,1,0.21429,0.33333,0.19048,0.19048,0.2381,0.40476,0.02381,0.30952,-0.04762,0.30952,0.30952,0.21429,0.35714,0.19048,0.16997,0.14694
0,1,1.0,1.0,0.57377,-0.01639,0.65574,0.85246,-0.03279,0.72131,0.0,0.68852,0.67213,1.0,0.31148,0.32787,0.27869,0.4918
1,1,0.98182,0.88627,0.86249,0.04572,0.8,0.69091,0.04545,0.79343,0.08436,0.77118,0.70674,0.68604,0.74545,0.67273,0.60715,0.5884
0,1,0.39286,-0.78824,-0.16628,-0.76378,0.66667,0.82143,0.40476,-0.6723,0.30729,-0.34797,-0.5183,-0.47651,0.32143,0.57143,-0.54891,0.25441
1,1,0.86889,1.0,1.0,-0.06889,0.87778,0.83556,-0.06444,1.0,-0.07287,1.0,1.0,1.0,0.84444,0.82222,1.0,1.0
0,1,0.43636,0.58182,0.18182,-0.67273,0.34545,0.29091,-0.05455,0.29091,0.29091,0.36364,0.12727,0.61818,0.32727,0.34545,0.12727,0.29091
1,1,1.0,1.0,0.49057,-0.0566,0.62264,1.0,-0.00054,0.45283,0.07547,0.62264,0.5283,0.9519,1.0,0.9434,1.0,0.43396
0,1,0.7381,-0.7619,0.33333,-0.14286,0.45238,-0.67285,0.12808,0.33333,0.0,0.28571,0.45238,0.16667,-0.57255,1.0,-0.66667,0.2619
