A1,A4,A9,A10,A11,A12
+,0.0,1.25,t,t,1
+,4.46,3.04,t,t,6
+,0.5,1.5,t,f,0
+,1.54,3.75,t,t,5
+,5.625,1.71,t,f,0
+,4.0,2.5,t,f,0
+,1.04,6.5,t,f,0
+,11.585,0.04,t,f,0
+,0.5,3.96,t,f,0
+,4.915,3.165,t,f,0
+,0.83,2.165,f,f,0
+,1.835,4.335,t,f,0
+,6.0,1.0,t,f,0
+,6.04,0.04,f,f,0
+,10.5,5.0,t,t,7
+,4.415,0.25,t,t,10
+,0.875,0.96,t,t,3
+,5.875,3.17,t,t,10
+,0.25,0.665,t,f,0
+,8.585,0.75,t,t,7
+,11.25,2.5,t,t,17
+,1.0,0.835,t,f,0
+,8.0,7.875,t,t,6
+,14.5,3.085,t,t,1
+,6.5,0.5,t,t,3
+,0.585,1.5,t,t,2
+,13.0,5.165,t,t,9
+,18.5,15.0,t,t,17
+,8.5,7.0,t,t,3
+,1.04,5.0,t,t,6
+,14.79,5.04,t,t,5
+,9.79,7.96,t,t,8
+,7.585,7.585,t,t,15
+,5.125,5.0,t,f,0
+,10.75,0.415,t,t,5
+,1.5,2.0,t,t,11
+,1.585,1.835,t,t,12
+,11.75,0.5,t,t,2
+,0.585,0.25,t,t,2
+,9.415,14.415,t,t,11
+,9.17,4.5,t,t,12
+,15.0,5.335,t,t,11
+,1.415,0.75,t,t,1
+,13.915,8.625,t,t,6
+,28.0,28.5,t,t,40
+,6.75,2.625,t,t,11
+,2.04,0.125,t,t,23
+,4.46,6.04,t,t,3
+,1.54,3.5,f,f,0
+,0.665,0.165,f,f,0
+,0.5,0.875,t,f,0
+,1.0,1.75,t,f,0
+,2.04,0.04,t,f,0
+,2.5,0.0,t,f,0
+,3.0,7.415,t,f,0
+,11.625,0.835,t,f,0
+,0.0,0.085,t,f,0
+,0.5,5.0,t,f,0
+,4.5,5.75,f,f,0
+,3.0,6.0,t,t,11
+,12.25,1.25,t,t,4
+,16.165,3.0,t,t,9
+,0.79,1.5,t,t,2
+,0.835,1.585,t,t,1
+,4.25,4.29,t,t,1
+,1.54,1.54,t,t,1
+,1.0,2.0,t,t,11
+,0.375,0.25,t,t,3
+,6.5,1.46,t,t,7
+,25.125,1.625,t,t,1
-,7.5,1.585,t,f,0
-,4.0,12.5,t,f,0
-,5.0,13.5,t,f,0
-,0.5,10.75,t,f,0
-,7.0,1.625,f,f,0
-,5.29,0.375,t,t,1
-,6.5,0.125,t,f,0
-,0.585,0.585,t,f,0
-,1.165,2.5,t,t,1
-,9.75,0.25,t,f,0
-,19.0,0.0,t,t,1
-,1.5,2.0,t,f,0
-,0.5,0.25,t,f,0
-,3.5,3.0,t,f,0
-,0.625,0.455,t,f,0
-,4.0,5.0,t,f,0
-,0.375,0.875,t,f,0
-,2.21,4.0,t,f,0
-,4.5,1.0,t,f,0
-,1.5,0.0,t,f,0
-,12.75,5.0,t,f,0
-,15.5,0.5,t,f,0
-,5.0,8.5,t,f,0
-,1.375,9.46,t,f,0
-,1.5,1.5,t,f,0
-,3.54,0.5,t,f,0
-,0.625,0.125,t,f,0
-,0.5,0.835,t,f,0
-,11.0,3.0,t,f,0
-,1.0,1.0,t,t,2
-,1.75,0.25,t,f,0
-,16.5,4.0,t,f,0
-,5.0,0.375,t,t,2
-,12.0,2.25,t,t,2
-,4.0,5.75,t,t,2
-,15.5,0.0,t,t,20
-,1.165,0.5,t,f,0
-,11.0,4.5,t,f,0
-,2.25,10.0,t,f,0
-,0.75,0.795,t,t,5
-,3.5,3.5,t,t,3
-,1.04,0.5,t,t,3
-,12.5,0.875,t,f,0
-,0.75,1.0,t,t,3
-,1.25,1.375,t,t,3
-,1.125,1.29,t,t,2
-,7.0,11.5,t,t,7
+,6.5,6.29,t,t,15
+,7.04,14.0,t,t,6
+,10.335,0.335,t,t,1
+,6.21,0.04,t,t,1
+,12.5,1.21,t,t,67
+,12.5,1.5,t,t,12
+,6.665,7.375,t,t,3
+,9.0,8.5,t,t,5
+,5.0,7.5,t,t,6
+,2.5,2.5,t,t,12
+,11.0,2.5,t,t,7
+,4.25,3.25,t,t,2
+,3.5,0.835,t,f,0
+,5.5,13.0,t,t,1
+,1.835,2.25,t,t,1
+,8.0,6.5,t,t,6
+,5.0,2.5,t,t,6
+,5.5,5.5,t,t,12
+,6.5,6.0,t,f,0
+,0.54,0.5,t,t,3
+,2.75,4.25,t,t,6
+,9.5,1.625,t,t,6
+,13.5,5.0,t,t,2
+,3.75,0.625,t,t,9
+,16.0,0.0,t,t,15
+,0.29,1.75,t,t,8
+,11.0,2.0,t,t,1
+,1.665,5.085,t,t,9
+,2.5,2.75,t,t,6
+,1.5,2.375,t,t,3
+,7.54,8.0,t,t,14
+,6.5,4.0,t,t,7
+,15.0,5.5,t,t,14
+,0.46,0.415,t,t,11
+,10.0,4.0,t,t,14
+,6.5,4.25,t,t,12
+,2.5,1.085,t,t,11
+,1.5,5.5,t,t,3
+,11.5,0.0,t,t,11
+,3.04,2.54,t,t,1
+,15.0,0.0,t,t,14
+,2.0,4.165,t,t,2
+,0.08,0.04,t,t,1
+,2.0,1.0,t,t,4
+,2.0,1.75,t,t,2
+,1.71,1.665,t,t,1
+,1.75,0.04,t,f,0
+,16.5,11.0,t,f,0
+,10.0,1.75,t,f,0
+,9.5,1.0,t,f,0
+,0.54,0.04,t,f,0
+,3.25,9.0,t,f,0
+,1.125,1.5,f,f,0
+,2.54,0.25,t,f,0
+,0.0,15.0,t,f,0
+,12.5,8.0,t,f,0
+,13.585,8.5,t,f,0
+,10.5,1.335,t,f,0
+,1.5,0.375,t,f,0
+,12.5,3.0,t,f,0
+,8.665,1.415,t,f,0
+,9.25,1.21,t,t,4
+,8.17,1.96,t,t,14
+,0.29,15.0,t,t,20
+,2.335,0.5,t,t,4
+,3.0,0.165,t,t,3
+,19.5,5.5,t,t,7
+,5.665,2.585,t,t,7
+,8.5,12.5,t,t,9
+,6.5,3.5,t,t,1
+,5.0,5.0,t,t,7
+,1.04,2.5,t,t,5
+,4.625,1.625,t,t,2
+,10.5,3.0,t,f,0
+,0.205,5.125,t,f,0
+,0.96,2.5,t,f,0
+,1.585,3.085,t,t,6
+,4.04,8.5,t,t,7
+,5.04,1.5,t,t,8
+,3.165,3.165,t,t,3
+,7.625,15.5,t,t,12
+,2.04,2.0,t,t,3
+,10.04,0.04,t,t,9
+,0.5,1.25,t,t,1
+,1.0,2.25,t,f,0
+,2.75,2.25,t,t,6
+,10.25,0.71,t,t,2
+,2.125,0.085,t,t,1
+,12.0,14.0,t,t,8
+,0.0,0.0,f,f,0
+,9.335,5.665,t,t,6
+,2.5,4.5,t,t,7
+,4.25,6.5,t,t,16
+,5.875,10.0,t,t,14
+,6.625,5.5,t,f,0
+,14.5,18.0,t,t,15
+,11.5,3.5,t,t,9
+,2.71,5.25,t,t,1
+,3.5,3.5,t,f,0
+,4.04,7.0,t,t,8
+,11.5,5.0,t,t,5
+,9.625,8.665,t,t,5
+,9.25,1.0,t,t,4
+,12.54,2.29,t,t,3
+,11.0,20.0,t,t,7
+,9.0,1.375,t,f,0
+,9.54,0.085,t,f,0
+,5.5,0.125,t,f,0
+,4.0,0.25,t,f,0
+,5.5,0.5,t,f,0
+,8.46,2.46,f,f,0
+,0.375,2.0,t,t,2
+,11.0,0.665,t,f,0
+,3.5,0.625,t,t,7
+,3.0,13.875,t,t,2
+,1.75,4.5,t,t,4
+,13.75,5.75,t,f,0
+,21.0,10.0,t,t,13
+,1.835,2.085,t,t,5
+,0.25,0.0,t,f,0
+,7.5,1.415,t,t,1
+,4.625,4.58,t,f,0
+,10.125,2.5,t,t,6
+,10.0,2.5,t,f,0
+,25.085,1.75,t,t,3
+,5.0,11.0,t,f,0
+,7.5,2.71,t,t,5
+,2.0,1.5,t,t,2
+,3.04,2.04,t,t,1
+,8.5,14.0,t,t,1
+,0.21,0.29,t,t,11
+,12.75,4.75,t,t,2
+,11.0,0.29,t,t,6
+,21.5,20.0,t,t,11
+,5.0,5.0,t,t,6
+,11.0,1.0,t,t,11
+,11.125,0.46,t,t,1
-,0.625,0.25,f,f,0
-,10.25,1.085,f,f,0
-,11.045,2.0,f,f,0
-,0.0,0.5,f,f,0
-,9.54,0.04,f,f,0
-,1.75,0.165,f,f,0
-,2.335,5.75,f,f,0
-,0.0,0.0,f,f,0
-,1.335,0.335,f,f,0
-,10.5,0.0,f,f,0
-,0.585,0.0,f,f,0
-,0.085,0.04,f,f,0
-,1.21,0.0,f,f,0
-,6.0,1.25,f,f,0
+,1.54,0.125,t,f,0
+,0.165,0.21,f,f,0
+,0.0,0.0,f,f,0
-,2.5,1.25,f,f,0
-,6.75,0.04,f,f,0
-,10.125,0.125,f,f,0
-,2.5,2.25,f,f,0
-,5.71,0.54,f,f,0
-,5.415,0.29,f,f,0
-,10.0,0.165,f,f,0
-,13.5,0.0,f,f,0
-,0.835,0.085,t,f,0
-,0.875,0.25,f,f,0
-,0.585,0.125,f,f,0
-,4.46,0.25,f,f,0
-,1.25,0.25,f,t,1
-,12.625,0.125,f,t,2
-,10.0,0.165,f,t,1
-,1.5,0.0,f,t,2
-,0.58,0.29,f,t,1
-,0.415,0.165,f,t,1
-,1.75,0.0,f,f,0
-,0.75,0.5,f,f,0
-,10.0,1.0,f,t,1
-,0.54,0.165,f,t,1
-,2.415,0.125,f,t,2
-,0.335,0.0,f,t,1
-,3.125,3.04,f,t,2
-,9.0,4.0,f,t,1
-,2.5,1.75,f,t,2
-,2.75,0.665,f,t,1
-,12.125,3.335,f,t,2
-,2.0,6.5,f,t,1
-,0.165,0.25,f,f,0
-,1.0,0.5,f,f,0
-,2.875,0.085,f,f,0
-,13.665,1.5,f,f,0
-,26.335,0.0,t,f,0
-,2.75,4.5,f,f,0
-,10.29,0.415,f,f,0
-,1.29,0.25,f,f,0
-,3.0,0.0,f,f,0
-,4.5,1.0,f,f,0
-,1.75,2.335,f,f,0
-,0.21,0.125,f,f,0
-,10.0,0.415,f,f,0
-,0.0,0.25,f,f,0
-,0.75,0.5,t,f,0
-,0.25,0.25,f,f,0
+,22.0,0.0,f,f,0
+,0.0,0.0,f,f,0
+,0.125,1.5,f,f,0
+,1.5,1.5,f,f,0
+,0.375,10.0,f,f,0
+,0.375,0.375,f,f,0
+,0.205,0.25,t,t,11
-,1.25,1.165,f,f,0
-,1.085,1.0,f,f,0
-,1.085,0.04,f,f,0
-,3.5,0.5,f,f,0
-,2.5,3.0,f,f,0
-,4.0,0.085,f,f,0
-,0.0,0.0,f,f,0
-,2.5,2.5,f,f,0
-,2.5,1.0,f,f,0
-,12.5,1.0,f,f,0
-,2.5,0.5,f,f,0
-,0.75,0.165,f,f,0
-,6.5,1.0,f,f,0
-,1.25,0.5,f,f,0
-,3.0,2.0,f,f,0
-,3.0,0.75,f,f,0
-,4.0,3.0,f,f,0
-,4.085,0.04,f,f,0
-,2.25,0.5,f,f,0
-,2.75,0.0,f,f,0
-,1.75,0.5,f,f,0
-,7.0,0.0,f,f,0
-,1.5,0.25,f,f,0
-,4.5,2.5,f,f,0
-,0.54,0.585,t,t,3
-,1.5,2.25,f,t,1
-,2.0,0.0,f,f,0
-,0.585,0.0,f,f,0
-,11.5,1.5,f,f,0
-,1.585,0.585,f,f,0
-,2.0,0.25,f,f,0
-,0.165,1.0,f,t,2
-,1.335,0.165,f,f,0
-,0.165,0.04,f,f,0
-,3.0,0.165,f,f,0
-,4.71,0.0,f,f,0
-,5.5,5.5,f,f,0
-,2.5,0.085,f,f,0
-,0.54,0.0,f,f,0
-,0.335,0.29,f,f,0
-,2.0,0.165,f,t,2
-,1.25,13.875,f,t,1
-,6.165,0.165,f,f,0
-,1.71,0.165,f,f,0
-,11.5,3.0,f,f,0
-,0.75,0.75,f,f,0
-,2.5,7.0,f,f,0
-,13.0,0.0,f,f,0
-,4.585,1.0,f,f,0
-,1.54,0.125,f,f,0
-,0.585,0.04,f,f,0
-,0.5,1.0,f,f,0
-,14.5,0.125,f,f,0
-,0.835,2.0,f,f,0
-,1.335,0.125,f,f,0
-,0.25,4.0,f,f,0
-,5.0,2.25,f,f,0
-,7.0,0.165,f,f,0
-,2.5,4.5,f,f,0
-,4.25,5.0,f,f,0
-,11.46,1.585,f,f,0
-,5.5,1.5,f,f,0
-,1.5,0.54,f,f,0
-,0.0,0.5,f,f,0
-,14.585,0.0,f,f,0
-,0.17,0.085,f,f,0
-,7.0,1.0,f,f,0
-,5.0,0.21,f,f,0
-,12.5,0.25,f,f,0
-,0.54,1.0,f,f,0
-,1.25,0.25,f,f,0
-,1.625,0.54,f,f,0
-,2.04,0.04,f,f,0
-,0.585,0.125,f,f,0
-,12.5,1.25,f,f,0
-,2.085,0.085,f,f,0
-,5.085,0.29,f,f,0
-,0.375,0.29,f,f,0
-,6.5,3.085,f,f,0
-,0.335,0.75,f,f,0
-,5.085,1.085,f,f,0
-,6.0,0.0,f,f,0
-,8.125,0.165,f,t,2
-,0.665,1.0,f,t,1
-,3.125,0.085,f,t,1
-,0.25,0.335,f,t,4
-,2.835,0.0,f,t,5
-,3.0,1.25,f,t,1
-,0.79,0.085,f,f,0
-,1.5,0.0,f,f,0
-,0.46,0.125,f,f,0
-,1.25,3.25,f,f,0
-,0.125,0.125,f,f,0
-,1.79,0.54,f,f,0
-,0.705,0.375,f,t,2
-,2.54,0.0,f,f,0
-,2.5,1.0,f,f,0
-,1.085,1.5,f,f,0
-,1.25,1.75,f,f,0
-,0.835,1.165,f,f,0
-,2.165,1.5,f,f,0
-,1.25,0.25,f,f,0
-,2.04,0.25,f,f,0
-,0.835,0.04,f,f,0
-,2.29,0.29,f,f,0
-,0.335,0.085,f,f,0
-,3.0,1.5,f,f,0
-,3.165,0.165,f,f,0
-,1.54,0.085,f,f,0
-,1.0,0.5,f,f,0
-,2.71,2.415,f,f,0
-,0.0,0.0,f,t,4
-,0.585,0.0,f,t,3
-,0.165,0.0,f,f,0
-,1.25,0.0,f,t,1
-,0.875,0.375,f,t,2
-,0.0,1.0,f,t,11
-,5.0,0.0,f,t,2
-,2.71,0.125,f,f,0
-,3.0,0.04,f,f,0
-,0.0,0.0,f,f,0
-,11.25,0.0,f,f,0
-,0.125,0.165,f,f,0
-,1.665,0.0,f,f,0
-,1.125,0.0,f,t,1
-,7.0,0.5,f,f,0
-,3.0,7.0,f,f,0
-,1.625,1.5,f,f,0
-,4.25,3.5,f,f,0
-,0.665,0.25,f,f,0
-,1.5,3.75,f,f,0
-,18.125,0.085,f,f,0
-,0.0,0.0,f,f,0
-,0.75,0.04,f,f,0
-,5.5,5.0,f,f,0
-,0.29,1.5,f,f,0
-,2.415,0.0,f,f,0
-,0.875,0.085,f,t,4
-,0.5,0.125,f,f,0
-,0.29,0.0,f,t,10
-,1.835,0.0,f,t,1
-,3.0,2.79,f,t,1
-,3.085,2.5,f,t,2
-,1.375,0.04,f,t,3
-,2.335,0.75,f,f,0
-,4.085,0.415,f,f,0
-,11.665,0.085,f,f,0
-,4.125,0.04,f,f,0
-,6.5,0.125,f,f,0
-,4.0,1.0,f,f,0
-,0.415,0.125,f,f,0
-,2.0,0.75,f,f,0
-,0.835,0.085,f,f,0
-,2.5,10.0,f,f,0
-,11.5,0.415,f,f,0
-,2.71,0.085,f,f,0
-,0.5,0.165,f,t,6
-,3.165,0.415,f,t,1
-,9.5,1.75,f,t,10
-,0.415,0.04,f,t,2
-,1.08,1.165,f,f,0
-,19.0,0.04,f,t,2
-,0.125,0.085,f,f,0
-,13.335,0.04,f,f,0
-,3.54,0.0,f,f,0
-,1.0,0.125,f,f,0
+,0.75,2.75,t,t,1
+,0.875,4.625,t,t,2
+,9.5,6.5,t,t,14
+,11.835,6.0,t,f,0
+,4.415,3.0,t,f,0
+,9.5,1.5,t,f,0
+,0.875,1.04,t,f,0
+,9.25,1.665,t,t,3
+,0.5,1.46,t,t,5
+,7.0,1.625,t,t,3
+,4.0,5.0,t,t,3
+,5.0,3.5,t,t,10
+,0.165,0.0,t,t,1
+,5.125,4.75,t,t,2
+,3.75,1.085,t,t,1
+,19.5,7.0,t,t,16
+,9.0,0.75,t,t,2
+,3.0,1.835,t,t,19
+,12.0,2.0,t,t,1
+,4.79,2.25,t,t,1
+,4.0,1.75,t,t,2
+,4.0,0.0,t,f,0
+,0.0,2.5,t,f,0
+,9.96,0.0,t,f,0
+,2.54,2.585,t,f,0
+,10.5,6.5,t,f,0
+,5.0,4.0,t,t,4
+,0.75,1.75,t,t,5
+,0.375,0.585,t,t,4
+,1.71,0.125,t,t,5
+,7.5,1.5,t,t,1
+,5.29,2.25,t,t,5
+,3.0,1.29,t,t,1
-,8.5,1.75,t,t,10
-,1.665,2.415,t,f,0
-,1.5,2.5,t,f,0
-,1.75,0.21,t,f,0
-,0.335,1.0,t,f,0
-,7.08,6.75,t,t,3
-,25.21,0.21,t,t,1
-,2.085,2.75,t,f,0
-,0.67,1.75,t,f,0
-,2.25,0.75,t,f,0
-,0.835,0.0,t,f,0
-,2.5,7.5,t,f,0
-,1.585,0.0,t,f,0
-,1.25,0.0,t,f,0
-,3.165,3.75,t,f,0
-,1.75,0.25,t,f,0
-,5.5,0.54,t,f,0
-,1.5,2.0,t,f,0
-,3.0,1.0,t,f,0
-,10.0,0.835,t,f,0
-,3.79,1.165,t,f,0
-,1.04,0.5,t,t,10
-,11.0,1.5,t,f,0
-,0.46,2.625,t,t,6
+,1.5,1.875,t,t,6
+,1.0,0.75,t,t,7
+,12.0,16.0,t,f,0
+,22.29,12.75,t,t,1
+,10.0,0.0,t,t,11
+,15.0,5.375,t,t,9
+,3.335,4.0,t,t,14
+,11.25,0.75,t,t,4
+,0.42,0.21,t,t,6
+,4.5,7.5,t,t,2
+,1.46,1.085,t,t,16
+,0.04,0.04,t,f,0
+,2.29,2.29,t,t,7
+,12.33,3.5,t,t,6
+,1.125,1.25,t,f,0
+,1.5,1.415,t,f,0
+,12.335,1.585,t,f,0
+,5.04,12.75,t,f,0
+,3.0,0.04,t,f,0
+,11.5,2.125,t,t,11
+,2.875,0.875,t,f,0
+,0.375,0.375,t,t,8
+,0.915,0.75,t,t,4
+,2.75,1.75,t,t,5
+,3.0,1.085,t,t,8
+,0.54,0.04,t,t,1
+,14.0,0.0,t,t,11
+,10.0,1.0,t,t,4
+,0.165,3.25,t,t,1
+,0.5,1.75,t,t,11
+,6.0,1.0,t,t,3
+,1.625,1.5,t,t,10
+,6.0,1.29,t,t,5
+,0.83,1.335,t,t,8
+,0.04,0.04,f,t,1
+,4.25,0.125,t,f,0
+,9.0,5.25,t,f,0
+,15.0,0.0,t,f,0
+,17.75,0.0,t,f,0
+,20.0,17.5,t,t,9
+,15.0,8.5,t,t,9
+,1.75,1.0,t,t,5
+,0.58,0.29,t,t,7
+,6.5,3.125,t,t,8
+,0.75,4.25,t,t,3
+,0.0,0.0,f,f,0
+,5.25,0.085,f,f,0
+,0.21,0.085,t,f,0
+,0.75,0.25,t,f,0
+,3.0,2.375,t,t,8
+,6.0,2.5,t,t,3
+,0.125,1.0,f,t,1
+,2.415,2.0,t,t,11
+,0.46,0.54,t,t,4
-,1.75,0.0,f,f,0
-,1.25,0.25,f,f,0
-,0.25,0.125,f,f,0
-,0.585,0.085,t,f,0
-,1.75,1.25,f,f,0
+,0.04,0.04,f,f,0
-,3.5,0.5,f,f,0
-,0.04,4.25,f,f,0
-,4.165,0.085,f,f,0
-,1.25,0.125,f,f,0
-,3.25,5.085,f,t,2
-,0.79,0.29,f,t,1
-,10.915,0.585,f,t,2
-,4.415,0.125,f,f,0
-,1.25,0.25,f,t,2
-,0.75,1.585,f,t,1
-,14.0,0.0,f,t,2
-,4.75,2.0,f,t,1
-,10.415,0.125,t,f,0
-,2.25,0.125,f,f,0
+,0.165,2.25,f,f,0
+,0.0,0.0,f,f,0
-,0.0,0.665,f,f,0
-,0.79,0.665,f,f,0
-,12.0,2.085,f,f,0
-,7.835,0.165,f,f,0
-,2.54,0.0,f,f,0
-,13.0,0.5,f,f,0
-,0.665,1.665,f,f,0
-,1.25,0.25,f,f,0
-,0.29,0.125,f,t,1
-,1.5,0.0,f,f,0
-,2.165,0.0,f,f,0
-,0.71,0.25,f,t,1
-,2.46,0.96,f,t,2
-,0.5,0.5,f,f,0
-,9.585,0.79,f,f,0
-,3.625,0.25,f,f,0
-,0.75,1.5,f,f,0
-,2.75,2.5,f,f,0
-,2.25,3.5,f,f,0
-,0.75,3.5,f,f,0
-,7.0,3.0,f,f,0
-,0.42,0.29,f,f,0
-,2.665,0.165,f,f,0
-,8.5,0.165,f,f,0
-,9.0,0.25,f,f,0
-,0.335,3.5,f,f,0
-,3.75,0.0,f,t,6
-,3.75,1.0,f,f,0
-,7.625,0.125,f,t,1
-,0.415,0.335,f,f,0
-,11.5,0.5,t,f,0
-,0.83,0.415,f,t,1
-,5.0,0.0,f,f,0
-,3.25,2.29,f,t,1
-,1.665,0.25,f,f,0
-,0.375,1.0,f,f,0
-,3.75,0.25,f,t,1
-,9.0,0.085,f,f,0
-,3.5,0.165,f,f,0
-,1.5,0.875,f,f,0
-,4.0,1.5,f,f,0
-,1.5,0.04,f,f,0
-,0.04,0.04,f,f,0
-,11.75,0.25,f,f,0
-,0.54,1.75,f,t,1
-,0.5,0.085,f,f,0
-,2.04,1.5,f,f,0
-,5.835,5.5,f,f,0
-,12.835,0.5,f,f,0
-,0.835,0.5,f,f,0
-,2.0,2.0,f,f,0
-,2.5,0.21,f,f,0
-,1.04,0.665,f,f,0
-,10.665,0.085,f,t,12
-,7.25,0.04,f,t,1
-,10.21,0.0,f,f,0
-,1.25,0.0,f,f,0
-,0.29,0.29,f,f,0
-,1.0,3.0,f,f,0
-,3.29,0.335,f,f,0
-,0.75,0.585,f,f,0
-,3.29,3.5,f,f,0
-,10.085,1.25,f,f,0
-,0.75,2.0,f,t,2
-,13.5,2.0,f,t,1
-,0.205,0.04,f,f,0
-,3.375,8.29,f,f,0
